category	word
Appliances	REFRIGERADOR
Appliances	LAVADORA
Appliances	ESTUFA
Appliances	HORNO
Appliances	CONGELADOR
Appliances	LAVAPLATOS
Appliances	SECADORA
Appliances	TOSTADORA
Appliances	LICUADORA
Appliances	BATIDORA
Appliances	ASPIRADORA
Appliances	PLANCHA
Beverages	COCA
Beverages	SODA
Beverages	AGUA
Beverages	LIMONADA
Beverages	CAFÉ
Beverages	JUGO
Beverages	TÉ
Beverages	LECHE
Beverages	CERVEZA
Beverages	SIDRA
Beverages	VINO
Beverages	RON
Birds	BÚHO
Birds	GORRIÓN
Birds	COLIBRÍ
Birds	CARDENAL
Birds	CUERVO
Birds	ÁGUILA
Birds	PALOMA
Birds	PATO
Birds	GAVIOTA
Birds	CISNE
Birds	GANSO
Birds	HALCÓN
BodyParts	PIE
BodyParts	PIERNA
BodyParts	DEDOS
BodyParts	BRAZO
BodyParts	MANO
BodyParts	OREJA
BodyParts	CABEZA
BodyParts	NARIZ
BodyParts	OJO
BodyParts	DIENTE
BodyParts	CODO
BodyParts	RODILLA
Building	TEJADO
Building	VENTANA
Building	PUERTA
Building	PARED
Building	PISO
Building	TECHO
Building	HABITACIÓN
Building	CIMENTACIÓN
Building	PASILLO
Building	ESCALERAS
Building	BAÑO
Building	ÁTICO
Clothing	CAMISETA
Clothing	PANTALÓN
Clothing	CAMISA
Clothing	SUÉTER
Clothing	FALDA
Clothing	CALCETINES
Clothing	CHAQUETA
Clothing	CALZÓN
Clothing	BLUSA
Clothing	ABRIGO
Clothing	ZAPATOS
Clothing	VESTIDO
Desserts	PASTEL
Desserts	PAY
Desserts	PANQUÉ
Desserts	DONA
Desserts	PALETA
Desserts	GALLETA
Desserts	PUDÍN
Desserts	CAJETA
Desserts	BUÑUELO
Desserts	CHURRO
Desserts	FLAN
Desserts	GELATINA
Electronics	TELEVISIÓN
Electronics	COMPUTADORA
Electronics	TELÉFONO
Electronics	ESTÉREO
Electronics	RADIO
Electronics	TABLETA
Electronics	IMPRESORA
Electronics	ESCÁNER
Electronics	AUDÍFONOS
Electronics	BOCINA
Electronics	CALCULADORA
Electronics	MICROONDAS
Fabric	ALGODÓN
Fabric	SEDA
Fabric	LANA
Fabric	NAILON
Fabric	SATÍN
Fabric	ACRÍLICO
Fabric	MEZCLILLA
Fabric	PIEL
Fabric	LINO
Fabric	POLIÉSTER
Fabric	TERCIOPELO
Fabric	GAMUZA
FarmAnimals	CERDO
FarmAnimals	VACA
FarmAnimals	POLLO
FarmAnimals	BECERRO
FarmAnimals	GALLINA
FarmAnimals	GALLO
FarmAnimals	CABALLO
FarmAnimals	OVEJA
FarmAnimals	CABRA
FarmAnimals	CORDERO
FarmAnimals	TORO
FarmAnimals	PAVO
Flowers	HORTENSIA
Flowers	ROSA
Flowers	TULIPÁN
Flowers	LIRIO
Flowers	CLAVEL
Flowers	VIOLETA
Flowers	NARCISO
Flowers	PETUNIA
Flowers	ORQUÍDEA
Flowers	GIRASOL
Flowers	LILA
Flowers	BUGAMBILIA
Fruit	MANZANA
Fruit	NARANJA
Fruit	PLÁTANO
Fruit	FRESA
Fruit	UVA
Fruit	DURAZNO
Fruit	PERA
Fruit	ARÁNDANO
Fruit	CEREZA
Fruit	CIRUELA
Fruit	LIMÓN
Fruit	LIMA
Furniture	CAMA
Furniture	SILLA
Furniture	CATRE
Furniture	TOCADOR
Furniture	SOFÁ
Furniture	MESA
Furniture	ESCRITORIO
Furniture	BURÓ
Furniture	MECEDORA
Furniture	BIBLIOTECA
Furniture	CAJÓN
Furniture	GABINETE
Insects	HORMIGA
Insects	MOSCA
Insects	MOSQUITO
Insects	ABEJA
Insects	ESCARABAJO
Insects	MARIQUITA
Insects	MARIPOSA
Insects	CUCARACHA
Insects	POLILLA
Insects	GRILLO
Insects	ARAÑA
Insects	GUSANO
Instruments	PIANO
Instruments	GUITARRA
Instruments	TAMBOR
Instruments	VIOLÍN
Instruments	FLAUTA
Instruments	TROMPETA
Instruments	BAJO
Instruments	ARPA
Instruments	VIOLONCHELO
Instruments	TUBA
Instruments	ACORDEÓN
Instruments	MARACAS
KitchenTools	CUCHARA
KitchenTools	CUCHILLO
KitchenTools	ESPÁTULA
KitchenTools	TENEDOR
KitchenTools	ABRELATAS
KitchenTools	ESCURRIDOR
KitchenTools	RALLADOR
KitchenTools	PELADOR
KitchenTools	CUCHARÓN
KitchenTools	TENAZAS
KitchenTools	RODILLO
KitchenTools	SACACORCHOS
Landscapes	RÍO
Landscapes	CORRIENTE
Landscapes	OCÉANO
Landscapes	MONTAÑA
Landscapes	LAGO
Landscapes	COLINAS
Landscapes	VALLE
Landscapes	MAR
Landscapes	BOSQUE
Landscapes	ARROYO
Landscapes	PLAYA
Landscapes	ISLA
OceanAnimals	PEZ
OceanAnimals	DELFÍN
OceanAnimals	CAMARÓN
OceanAnimals	LANGOSTA
OceanAnimals	CANGREJO
OceanAnimals	BALLENA
OceanAnimals	MEDUSA
OceanAnimals	OSTIÓN
OceanAnimals	TIBURÓN
OceanAnimals	TORTUGA
OceanAnimals	CALAMAR
OceanAnimals	PULPO
OfficeSupplies	BOLÍGRAFO
OfficeSupplies	LÁPIZ
OfficeSupplies	PAPEL
OfficeSupplies	LIBRETA
OfficeSupplies	BORRADOR
OfficeSupplies	CARPETA
OfficeSupplies	TIJERAS
OfficeSupplies	GRAPADORA
OfficeSupplies	REGLA
OfficeSupplies	MARCADOR
OfficeSupplies	CINTA
OfficeSupplies	PEGAMENTO
Tools	DESTORNILLADOR
Tools	MARTILLO
Tools	LLAVE
Tools	TALADRO
Tools	PINZAS
Tools	SIERRA
Tools	PALA
Tools	NIVEL
Tools	LIJADORA
Tools	TRINQUETE
Tools	PALANCA
Tools	HACHA
Toys	MUÑECA
Toys	PELOTA
Toys	BLOQUE
Toys	BARBIE
Toys	CASITA
Toys	BALONCESTO
Toys	ROMPECABEZAS
Toys	VÓLEIBOL
Toys	FÚTBOL
Toys	CANICAS
Toys	BÉISBOL
Toys	YOYÓ
Trees	PINO
Trees	ROBLE
Trees	ARCE
Trees	OLMO
Trees	ENCINO
Trees	ABEDUL
Trees	ABETO
Trees	SAUCE
Trees	CEDRO
Trees	NOGAL
Trees	NUEZ
Trees	CIPRÉS
Vegetables	BRÓCOLI
Vegetables	ZANAHORIA
Vegetables	LECHUGA
Vegetables	ESPINACA
Vegetables	CHÍCHAROS
Vegetables	APIO
Vegetables	PEPINO
Vegetables	MAÍZ
Vegetables	COLIFLOR
Vegetables	PAPA
Vegetables	CEBOLLA
Vegetables	REPOLLO
Vehicles	AUTO
Vehicles	CAMIÓN
Vehicles	CAMIONETA
Vehicles	AUTOBÚS
Vehicles	CUATRIMOTO
Vehicles	MOTOCICLETA
Vehicles	AVIÓN
Vehicles	TREN
Vehicles	BICICLETA
Vehicles	BOTE
Vehicles	PATINETA
Vehicles	TRICICLO
Weather	LLUVIA
Weather	VIENTO
Weather	HUMEDAD
Weather	TORMENTA
Weather	NUBLADO
Weather	NIEVE
Weather	LLOVIZNA
Weather	RELÁMPAGO
Weather	NIEBLA
Weather	TRUENO
Weather	HURACÁN
Weather	TORNADO
Zoo	SERPIENTE
Zoo	ELEFANTE
Zoo	LEÓN
Zoo	JIRAFA
Zoo	TIGRE
Zoo	CHIMPANCÉ
Zoo	CEBRA
Zoo	GORILA
Zoo	OSO
Zoo	JAGUAR
Zoo	LEOPARDO
Zoo	PANDA
